entry_id,src_oui,src2dst_transmission_rate_ms,src2dst_transmission_rate_bytes_ms,src2dst_total_packets,src2dst_total_duration_ms,src2dst_total_bytes,src2dst_stdev_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_max_ps,protocol,dst_oui,dst2src_transmission_rate_ms,dst2src_transmission_rate_bytes_ms,dst2src_total_packets,dst2src_total_duration_ms,dst2src_total_bytes,dst2src_stdev_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_max_ps,bidirectional_transmission_rate_ms,bidirectional_transmission_rate_byte_ms,bidirectional_total_packets,bidirectional_total_duration_ms,bidirectional_total_bytes,bidirectional_stdev_ps,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_max_ps,label
929755,GreenPeak Technologies,3.54413775275705e-06,0.0002055599896599,2,564312.1513671875,116.0,7.0,51.0,58.0,65.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,smart_speaker
929756,Texas Instruments,0.0001002110718923,0.0048390058274788,59,588757.298828125,2849.0,1.8690235596054536,47.0,48.28813559322034,51.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929757,GreenPeak Technologies,0.0002594572185787,0.0142937340417012,154,593546.79296875,8484.0,6.366882289052046,51.0,55.09090909090909,65.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,smart_speaker
929758,Texas Instruments,0.0001011118936256,0.0048870748585738,60,593402.0009765625,2900.0,1.8856180831641267,47.0,48.333333333333336,51.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929759,GreenPeak Technologies,0.0002548099864657,0.0140317661465948,148,580824.9592285156,8150.0,6.35616551304467,51.0,55.067567567567565,65.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,smart_speaker
929760,GreenPeak Technologies,0.0002631979806278,0.0144827699274869,153,581311.4509277344,8419.0,6.336890345216496,51.0,55.02614379084967,65.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,smart_speaker
929761,GreenPeak Technologies,1.0,51.0,1,1.0,51.0,0.0,51.0,51.0,51.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,smart_speaker
929762,GreenPeak Technologies,0.0002443925016558,0.0134921515569319,145,593307.8920898438,8005.0,6.383055750456546,51.0,55.206896551724135,65.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,smart_speaker
929763,GreenPeak Technologies,0.0002516533893516,0.0138493811589508,149,592084.2170410156,8200.0,6.252426221567241,51.0,55.033557046979865,65.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,smart_speaker
929764,GreenPeak Technologies,0.0002570265506038,0.0141381401953052,153,595269.2421875,8416.0,6.310585289270101,51.0,55.00653594771242,65.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,smart_speaker
